Name,Size,Path
api-ms-win-core-memory-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-memory-l1-1-0.dll
api-ms-win-core-namedpipe-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-namedpipe-l1-1-0.dll
api-ms-win-core-processenvironment-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-processenvironment-l1-1-0.dll
api-ms-win-core-processthreads-l1-1-1.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-processthreads-l1-1-1.dll
api-ms-win-core-profile-l1-1-0.dll,20960,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-profile-l1-1-0.dll
api-ms-win-core-rtlsupport-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-rtlsupport-l1-1-0.dll
api-ms-win-core-string-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-string-l1-1-0.dll
api-ms-win-core-synch-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-synch-l1-1-0.dll
api-ms-win-core-synch-l1-2-0.dll,20960,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-synch-l1-2-0.dll
api-ms-win-core-sysinfo-l1-1-0.dll,20928,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-sysinfo-l1-1-0.dll
api-ms-win-core-timezone-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-timezone-l1-1-0.dll
api-ms-win-core-util-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-util-l1-1-0.dll
api-ms-win-crt-conio-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-conio-l1-1-0.dll
api-ms-win-crt-convert-l1-1-0.dll,25032,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-convert-l1-1-0.dll
api-ms-win-crt-environment-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-environment-l1-1-0.dll
api-ms-win-core-console-l1-1-0.dll,20960,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-console-l1-1-0.dll
api-ms-win-core-console-l1-2-0.dll,20928,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-console-l1-2-0.dll
api-ms-win-core-datetime-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-datetime-l1-1-0.dll
api-ms-win-core-debug-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-debug-l1-1-0.dll
api-ms-win-crt-heap-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-heap-l1-1-0.dll
api-ms-win-crt-locale-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-locale-l1-1-0.dll
api-ms-win-crt-math-l1-1-0.dll,29120,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-math-l1-1-0.dll
api-ms-win-crt-multibyte-l1-1-0.dll,29128,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-multibyte-l1-1-0.dll
api-ms-win-crt-private-l1-1-0.dll,74184,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-private-l1-1-0.dll
api-ms-win-crt-process-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-process-l1-1-0.dll
api-ms-win-crt-runtime-l1-1-0.dll,25040,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-runtime-l1-1-0.dll
api-ms-win-crt-stdio-l1-1-0.dll,25032,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-stdio-l1-1-0.dll
api-ms-win-crt-string-l1-1-0.dll,25032,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-string-l1-1-0.dll
api-ms-win-crt-time-l1-1-0.dll,20928,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-crt-time-l1-1-0.dll
